reference,target,metric,reference_median,target_median,median_delta,ks_statistic,ks_pvalue,wasserstein_distance,wasserstein_over_train_iqr
train,val,brightness,0.5743571171675191,0.5709261027816075,-0.003431014385911646,0.035449296763417175,0.7414892762106514,0.0045807095331652095,0.04018112227097745
train,val,contrast,0.183820798002012,0.1832141616976596,-0.0006066363043523981,0.03524050449054685,0.7479611586877453,0.003168564436192637,0.03610566023323281
train,val,blur_laplacian,1863.63211866983,1764.1343149649783,-99.49780370485178,0.06126388922510833,0.12850154072956085,100.1271489832414,0.07153827655102386
train,val,edge_density,0.08116658528645834,0.07825724283854167,-0.0029093424479166713,0.04731717059236486,0.38337147268794874,0.0034022007265847353,0.07919897728758873
train,val,entropy,6.956823110580444,6.954660177230835,-0.002162933349609375,0.03340373768428188,0.8029820321634711,0.024523631515619287,0.041328365722820753
train,val,saturation,0.16600453495200163,0.15859347075418712,-0.00741106419781451,0.035945556658355325,0.7260350105821939,0.005404333582549391,0.029819323608311986
train,val,dark_fraction,0.05436060909789327,0.052293405592816436,-0.002067203505076831,0.03372751700597933,0.7935453622102225,0.005158106123837438,0.04015164429265603
train,val,aspect_long_short,1.3333333333333333,1.3333333333333333,0.0,0.040771986734125736,0.572612427283601,0.03604227047914524,0.0810951085780768
train,val,megapixels,1.2288,1.2288,0.0,0.040771986734125736,0.572612427283601,0.019019755543586127,0.06191326674344444
train,test,brightness,0.5743571171675191,0.5735012881841925,-0.0008558289833265897,0.02976461812606191,0.8904373008503036,0.003094945349663507,0.027148278365271596
train,test,contrast,0.183820798002012,0.1884680982161068,0.0046473002140947905,0.034945416979936895,0.7465247335589974,0.0025983810409124517,0.02960844411054139
train,test,blur_laplacian,1863.63211866983,1781.7480250736699,-81.88409359616026,0.05856204526483421,0.15474289170623742,80.39023845145428,0.05743676084600639
train,test,edge_density,0.08116658528645834,0.07995096842447917,-0.0012156168619791713,0.0654996240757295,0.08186953955499345,0.0028871984894645844,0.06721036939563743
train,test,entropy,6.956823110580444,6.969419479370117,0.012596368789672852,0.029740937857054055,0.8909811235634201,0.02864841018871471,0.048279634804596225
train,test,saturation,0.16600453495200163,0.15622708189721202,-0.009777453054789609,0.05312594351071828,0.24226192435310884,0.007628958727607691,0.042094068698415824
train,test,dark_fraction,0.05436060909789327,0.05328017979452055,-0.0010804293033727166,0.043335632292782846,0.4816764333926871,0.003044102674560199,0.02369585364178832
train,test,aspect_long_short,1.3333333333333333,1.3333333333333333,0.0,0.06104773350225259,0.12420545663785484,0.058297648713064906,0.13116970960439606
train,test,megapixels,1.2288,1.2288,0.0,0.06104773350225259,0.12420545663785484,0.03013043457881681,0.09808084172791934
train,pseudo_sroie,brightness,0.5743571171675191,0.9384155537686543,0.3640584366011351,0.9514445713797632,0.0,0.35154812373730665,3.0837140058214576
train,pseudo_sroie,contrast,0.183820798002012,0.13094448451757962,-0.05287631348443239,0.40723460138157824,4.950759080486658e-107,0.05865891925886159,0.6684159502067741
train,pseudo_sroie,blur_laplacian,1863.63211866983,3767.671941317346,1904.0398226475158,0.4187975785011905,2.1347989973600474e-113,2452.6569960312363,1.7523604361915182
train,pseudo_sroie,edge_density,0.08116658528645834,0.09753694452791131,0.01637035924145297,0.212816700654488,7.011352480931066e-29,0.01579200154052723,0.36761804251017705
train,pseudo_sroie,entropy,6.956823110580444,3.4291285276412964,-3.527694582939148,0.9006189876255859,2.17e-322,3.3294860472495236,5.611004917526888
train,pseudo_sroie,saturation,0.16600453495200163,0.0,-0.16600453495200163,0.9167729898250072,1.3e-322,0.17452696153922223,0.962981996766097
train,pseudo_sroie,dark_fraction,0.05436060909789327,0.005370374219709374,-0.048990234878183894,0.5122369502781307,1.2380577039533746e-172,0.09171942031740665,0.7139607931473385
train,pseudo_sroie,aspect_long_short,1.3333333333333333,1.9923343948214063,0.659001061488073,0.651675991074193,1.865594413032828e-290,0.4976070193532414,1.1196157935447932
train,pseudo_sroie,megapixels,1.2288,1.440623,0.2118230000000001,0.506999978646395,6.253605395532599e-169,4.838752506360705,15.751147481642924
train,pseudo_wildreceipt,brightness,0.5743571171675191,0.6135068008323121,0.03914968366479299,0.22851503314639623,5.125039666817735e-53,0.05779224814953836,0.5069427285005541
train,pseudo_wildreceipt,contrast,0.183820798002012,0.18111491607277821,-0.0027058819292337943,0.04946914569332077,0.006972831036002375,0.0060623742878695595,0.06908050338011101
train,pseudo_wildreceipt,blur_laplacian,1863.63211866983,1647.3756620515896,-216.25645661824046,0.1468461110580695,4.792819045951611e-22,413.8976440292164,0.29571923722041815
train,pseudo_wildreceipt,edge_density,0.08116658528645834,0.0747415594413285,-0.006425025845129842,0.15900411372306467,8.725547354419235e-26,0.01135049044060844,0.2642252197480247
train,pseudo_wildreceipt,entropy,6.956823110580444,6.652372360229492,-0.30445075035095215,0.2455469259156251,3.1335132779317716e-61,0.3950291299675517,0.6657214835440898
train,pseudo_wildreceipt,saturation,0.16600453495200163,0.14321358209082244,-0.022790952861179187,0.10387790696869945,3.09730453148542e-11,0.019065647178849343,0.10519792946604498
train,pseudo_wildreceipt,dark_fraction,0.05436060909789327,0.06350326538085938,0.009142656282966108,0.05246951375599659,0.0034457318437654733,0.010376634561173503,0.08077362695770898
train,pseudo_wildreceipt,aspect_long_short,1.3333333333333333,1.3333333333333333,0.0,0.34577862552113386,2.933473210764739e-122,0.1722639891489927,0.3875939755852336
train,pseudo_wildreceipt,megapixels,1.2288,0.2123,-1.0165,0.7069532712608084,6.47e-322,1.0976950755036996,3.5732261572386066
