filename,fold,regions,hmean,precision,recall,gt_regions,det_num_char_gt,det_num_char_det,det_gran_score_recall,det_num_char_tp_recall,det_gran_score_precision,det_num_char_tp_precision,det_num_char_fp,num_splitted,num_merged,num_char_overlapped,original_split,stratum,gt_region_bin,small_text_bin,small_text_lt8_ratio,small_text_lt12_ratio,short_side_1024_median,aspect_long_short,brightness,contrast,blur_laplacian
drp.en_ko.in_house.selectstar_003783.jpg,1,87,0.9895479679107666,0.990439772605896,0.9886578321456908,93,529.0,523.0,0.0,523.0,5.0,523.0,0.0,0.0,4.0,0.0,train,train_w1_s1,1,1,0.06451612903,0.2365591398,15.24844208,1.777777778,0.5551910467,0.0760815175,718.4234724
drp.en_ko.in_house.selectstar_003784.jpg,4,141,0.9983498454093932,0.9983498454093932,0.9983498454093932,141,606.0,606.0,1.0,606.0,1.0,606.0,0.0,1.0,1.0,0.0,train,train_w3_s1,3,1,0.04964539007,0.170212766,16.0,1.333333333,0.5268421647,0.174176278,1407.059105
drp.en_ko.in_house.selectstar_003785.jpg,2,104,0.9935275316238404,0.9871382713317872,1.0,104,617.0,622.0,0.0,617.0,3.0,617.0,5.0,0.0,3.0,0.0,train,train_w1_s1,1,1,0.05769230769,0.2884615385,14.39530487,1.333333333,0.4139024523,0.2015078439,1319.128412
drp.en_ko.in_house.selectstar_003786.jpg,0,128,0.9079094529151917,0.9669421315193176,0.8556700944900513,128,679.0,605.0,10.0,591.0,6.0,591.0,13.0,7.0,6.0,1.0,train,train_w3_s1,3,1,0.15625,0.25,14.33631973,1.333333333,0.5935035456,0.08675374303,728.9304834
drp.en_ko.in_house.selectstar_003787.jpg,3,110,0.97980535030365,0.9753639698028564,0.9842873215675354,116,891.0,893.0,13.0,890.0,19.0,890.0,0.0,11.0,13.0,3.0,train,train_w2_s1,2,1,0.01724137931,0.724137931,11.2759758,1.333333333,0.4841857511,0.2517643063,2907.105222
drp.en_ko.in_house.selectstar_003788.jpg,3,123,0.9951806664466858,1.0,0.990407645702362,119,417.0,417.0,4.0,417.0,0.0,417.0,0.0,4.0,0.0,0.0,train,train_w2_s0,2,0,0.0,0.02521008403,19.5519989,1.333333333,0.4493358737,0.2632993067,1440.146245
drp.en_ko.in_house.selectstar_003789.jpg,1,104,0.974629521369934,0.9815303683280944,0.9678249955177308,114,777.0,758.0,1.0,753.0,9.0,753.0,5.0,1.0,4.0,0.0,train,train_w2_s1,2,1,0.1754385965,0.2456140351,17.43044891,1.0,0.6409599903,0.06691149518,1568.137737
drp.en_ko.in_house.selectstar_003790.jpg,4,97,0.8603931665420532,0.7834101319313049,0.9541547298431396,82,349.0,434.0,7.0,340.0,0.0,340.0,93.0,5.0,0.0,1.0,val,val_w0_s0,0,0,0.06097560976,0.1097560976,22.09490204,1.333333333,0.5009128346,0.2881371317,2667.968073
drp.en_ko.in_house.selectstar_003792.jpg,4,107,0.9756978154182434,0.9909909963607788,0.960869550704956,109,460.0,444.0,0.0,442.0,2.0,442.0,2.0,0.0,2.0,0.0,train,train_w2_s0,2,0,0.01834862385,0.05504587156,18.4801178,1.777777778,0.5969613268,0.07103389645,1249.881442
drp.en_ko.in_house.selectstar_003793.jpg,1,53,0.9945054650306702,1.0,0.989071011543274,52,366.0,363.0,1.0,363.0,0.0,363.0,0.0,1.0,0.0,0.0,train,train_w0_s0,0,0,0.01923076923,0.01923076923,21.32179947,1.333333333,0.6217601701,0.2989530113,1170.205364
