fold,images,macro_hmean,macro_precision,macro_recall,global_hmean,global_precision,global_recall,regions_total,regions_mean
0,735,0.952514728802402,0.9530826665917221,0.954573551773214,0.9502266099860459,0.9481971515267489,0.9522647745165145,80575,109.62585034013605
1,735,0.9563534326293841,0.9561085135758328,0.9586699250604019,0.9540151004255517,0.9525371578528682,0.9554976364330353,79508,108.17414965986394
2,736,0.9494456935916906,0.9517322020686191,0.9509081584856967,0.952821932401771,0.9552472245630748,0.9504089242769517,80773,109.74592391304348
3,735,0.9329407602903389,0.9424883400501848,0.9335827500008199,0.9368758514771739,0.9423093717968165,0.9315046331664615,80634,109.70612244897958
4,735,0.9434296892411044,0.9502800646079641,0.940513479071004,0.9448949160929628,0.9519263820098228,0.9379665652672341,83630,113.78231292517007
