metric,delta_mean,ci95_low,ci95_high,probability_delta_gt_0,bootstrap_samples,seed
macro_hmean,0.00012873195359613382,-0.0015477264576619157,0.001852309663254446,0.5552,10000,42
macro_precision,-0.005193874747062672,-0.007046118102008755,-0.0034453400143302326,0.0,10000,42
macro_recall,0.005230840887055545,0.002859844477607471,0.00782867730917907,1.0,10000,42
global_hmean,0.0003818660350971585,-0.0017092964547258866,0.002545825264737788,0.6396,10000,42
global_precision,-0.006247279899773808,-0.00868605647299058,-0.004075973307742526,0.0,10000,42
global_recall,0.00695634494738328,0.003658280192249472,0.010567789973715273,1.0,10000,42
