filename,hmean,precision,recall,gt_regions,pred_regions
drp.en_ko.in_house.selectstar_001418.jpg,0.6740041971206665,0.5591195225715637,0.8483099937438965,220,83
drp.en_ko.in_house.selectstar_000530.jpg,0.747016429901123,0.8483290672302246,0.6673209071159363,167,148
drp.en_ko.in_house.selectstar_000422.jpg,0.7878208160400391,0.6557863354682922,0.9864253401756287,54,63
drp.en_ko.in_house.selectstar_002135.jpg,0.7878810167312622,0.71875,0.8717253804206848,276,160
drp.en_ko.in_house.selectstar_000905.jpg,0.7906728982925415,0.8601321578025818,0.731593668460846,143,138
drp.en_ko.in_house.selectstar_000082.jpg,0.7946329712867737,0.9911308288574219,0.6631578803062439,124,81
drp.en_ko.in_house.selectstar_004063.jpg,0.7982332706451416,0.9445843696594238,0.6911487579345703,113,120
drp.en_ko.in_house.selectstar_002145.jpg,0.7988297343254089,0.868372917175293,0.7395994067192078,141,125
drp.en_ko.in_house.selectstar_002057.jpg,0.8065568804740906,0.7986871004104614,0.8145833611488342,120,95
drp.en_ko.in_house.selectstar_000482.jpg,0.8198620080947876,0.9276018142700195,0.7345454692840576,58,59
drp.en_ko.in_house.selectstar_000231.jpg,0.8254224061965942,0.8299531936645508,0.8209407925605774,134,131
drp.en_ko.in_house.selectstar_004123.jpg,0.8271048665046692,0.9876237511634827,0.7114695310592651,108,106
drp.en_ko.in_house.selectstar_002836.jpg,0.833684504032135,0.8430812954902649,0.8244949579238892,225,161
drp.en_ko.in_house.selectstar_001261.jpg,0.8373915553092957,0.752136766910553,0.9444444179534912,182,98
drp.en_ko.in_house.selectstar_000525.jpg,0.8419708609580994,0.8478893637657166,0.8361344337463379,196,165
drp.en_ko.in_house.selectstar_000237.jpg,0.843104362487793,0.902255654335022,0.7912317514419556,97,74
drp.en_ko.in_house.selectstar_001576.jpg,0.8431664109230042,0.8966565132141113,0.7956989407539368,134,127
drp.en_ko.in_house.selectstar_001914.jpg,0.8529497385025024,0.7841105461120605,0.9350393414497375,115,118
drp.en_ko.in_house.selectstar_003835.jpg,0.8592132329940796,0.9304932951927185,0.7980769276618958,136,136
drp.en_ko.in_house.selectstar_001754.jpg,0.8601119518280029,0.9555950164794922,0.7819767594337463,101,102
drp.en_ko.in_house.selectstar_001436.jpg,0.8623132109642029,0.9220430254936218,0.8098511099815369,140,117
drp.en_ko.in_house.selectstar_000959.jpg,0.8624553084373474,0.9323017597198486,0.8023450374603271,86,86
