metric,delta_mean,ci95_low,ci95_high,probability_delta_gt_0,bootstrap_samples,seed
macro_hmean,0.002486878864585173,0.0008896828878043903,0.004150402228726019,0.9998,10000,42
macro_precision,-0.0008907832018367135,-0.0023657395624288235,0.0005899050263780176,0.1172,10000,42
macro_recall,0.005719330868862643,0.0032982766665149445,0.008294942233674598,1.0,10000,42
global_hmean,0.00285003700437273,0.0008861872477215539,0.004928968017207193,0.999,10000,42
global_precision,-0.0016226076564394298,-0.0032831029073643212,1.5680147824767373e-05,0.0259,10000,42
global_recall,0.0072660087021138705,0.0040140878042217495,0.01082268572216446,1.0,10000,42
