stratum,images,control_hmean,ensemble_hmean,delta_hmean,delta_precision,delta_recall,improved_images,worse_images
all,404,0.9647846673384751,0.9672655067821541,0.002480839443678903,-0.0008961025736119487,0.00571386722644957,202,168
control_h_bottom_quartile,101,0.9044275785436725,0.914977244221338,0.010549665677665484,0.00041571111962346747,0.01994778909305535,63,38
v5_won_d0,166,0.9518274352493057,0.9628119529729866,0.010984517723680979,0.0061456076351993055,0.015095969639628767,141,22
v2b_won_d0,220,0.971901243112304,0.9681551391428167,-0.003746103969487277,-0.006300588358532299,-0.0009068941528146917,58,146
high_disagreement_quartile,101,0.935155193994541,0.9399107694625854,0.00475557546804447,-0.007025736393314777,0.015753823341709553,55,46
