metric,delta_mean,ci95_low,ci95_high,probability_delta_gt_0,bootstrap_samples,seed
macro_hmean,0.0020652312663669635,0.0005478099172953332,0.00363100496775443,0.9967,10000,42
macro_precision,0.0025384737371365626,0.0014714801444275544,0.0036433821341188824,1.0,10000,42
macro_recall,0.0013785969549328975,-0.0010043646218162953,0.003839124525242513,0.8679,10000,42
global_hmean,0.0028848039125386146,0.0010358966968904621,0.0048512842546248065,0.9998,10000,42
global_precision,0.0034968894613927105,0.00210985803693822,0.0050332660330829415,1.0,10000,42
global_recall,0.002284858323570804,-0.0007942933873600593,0.0056842485790816934,0.9211,10000,42
