stratum,images,control_hmean,tta_hmean,delta_hmean,delta_precision,delta_recall,improved_images,worse_images
all,404,0.9647846673384751,0.9668397660007572,0.002055098662281972,0.002533169666139195,0.0013640372469873635,199,131
control_h_bottom_quartile,101,0.9044275785436725,0.9123196247780677,0.007892046234395229,0.006786406630336634,0.008054608755772644,62,37
short_side_1024_median_low_quartile,101,0.9499345941118674,0.9577109908113385,0.007776396699471022,0.005917162588327205,0.008896455316260285,77,18
small_text_lt8_ratio_high_quartile,101,0.9477646533805545,0.9530367951581974,0.005272141777642858,0.005261032298059717,0.004660179119298932,71,21
contrast_low_quartile,101,0.9582035724479373,0.962376887255376,0.004173314807438605,0.0017754766020444286,0.005762073663201649,52,27
blur_laplacian_low_quartile,101,0.956302283423962,0.9584246690910642,0.0021223856671021652,0.0018900367293027262,0.00216674096513502,53,34
