filename,fold,regions,hmean,precision,recall,gt_regions,det_num_char_gt,det_num_char_det,det_gran_score_recall,det_num_char_tp_recall,det_gran_score_precision,det_num_char_tp_precision,det_num_char_fp,num_splitted,num_merged,num_char_overlapped
drp.en_ko.in_house.selectstar_002402.jpg,1,108,0.9537965655326843,0.9581589698791504,0.9494736790657043,99,475.0,478.0,9.0,460.0,2.0,460.0,16.0,2.0,2.0,2.0
drp.en_ko.in_house.selectstar_002403.jpg,1,126,0.9918071627616882,0.9881129264831543,0.995529055595398,127,671.0,673.0,0.0,668.0,3.0,668.0,5.0,0.0,3.0,0.0
drp.en_ko.in_house.selectstar_002409.jpg,1,146,0.985871434211731,0.9734637141227722,0.9985994100570679,162,714.0,716.0,1.0,714.0,17.0,714.0,0.0,1.0,9.0,2.0
drp.en_ko.in_house.selectstar_002420.jpg,1,77,1.0,1.0,1.0,77,384.0,384.0,0.0,384.0,0.0,384.0,0.0,0.0,0.0,0.0
drp.en_ko.in_house.selectstar_002421.jpg,1,126,0.9345173835754395,0.8928571343421936,0.9802555441856384,170,861.0,896.0,14.0,858.0,58.0,858.0,3.0,13.0,30.0,35.0
drp.en_ko.in_house.selectstar_002431.jpg,1,123,0.9587746262550354,0.9980079531669617,0.9225092530250549,122,542.0,502.0,2.0,502.0,1.0,502.0,0.0,2.0,1.0,0.0
drp.en_ko.in_house.selectstar_002436.jpg,1,108,0.9838767051696777,0.9767857193946838,0.9910714030265808,115,560.0,560.0,3.0,558.0,11.0,558.0,1.0,3.0,8.0,1.0
drp.en_ko.in_house.selectstar_002441.jpg,1,112,0.9782637357711792,0.9746376872062683,0.9819168448448181,114,553.0,552.0,1.0,544.0,6.0,544.0,8.0,1.0,6.0,0.0
drp.en_ko.in_house.selectstar_002447.jpg,1,121,0.9776818752288818,0.9646643400192261,0.991055428981781,127,559.0,566.0,4.0,558.0,12.0,558.0,4.0,4.0,5.0,4.0
drp.en_ko.in_house.selectstar_002452.jpg,1,93,0.987570583820343,0.9864559769630432,0.9886877536773682,90,442.0,443.0,0.0,437.0,0.0,437.0,6.0,0.0,0.0,0.0
drp.en_ko.in_house.selectstar_002460.jpg,1,192,0.9930615425109863,0.9914529919624329,0.9946751594543457,199,939.0,936.0,1.0,935.0,7.0,935.0,0.0,1.0,6.0,1.0
drp.en_ko.in_house.selectstar_002468.jpg,1,107,0.9747427701950073,0.9811676144599915,0.9684014916419983,106,538.0,531.0,1.0,522.0,1.0,522.0,8.0,1.0,1.0,1.0
drp.en_ko.in_house.selectstar_002470.jpg,1,166,0.9607264995574951,0.9479882121086121,0.9738118052482605,209,1031.0,1019.0,0.0,1004.0,38.0,1004.0,15.0,0.0,22.0,0.0
drp.en_ko.in_house.selectstar_002472.jpg,1,137,0.9948825240135193,0.9941520690917969,0.9956140518188477,137,684.0,684.0,1.0,682.0,2.0,682.0,2.0,1.0,2.0,0.0
drp.en_ko.in_house.selectstar_002478.jpg,1,148,0.9752028584480286,0.9568845629692078,0.9942362904548645,142,694.0,719.0,4.0,694.0,6.0,694.0,21.0,4.0,6.0,4.0
drp.en_ko.in_house.selectstar_002483.jpg,1,96,0.9707306623458862,0.946494460105896,0.9962406158447266,109,532.0,542.0,2.0,532.0,19.0,532.0,10.0,2.0,1.0,0.0
drp.en_ko.in_house.selectstar_002488.jpg,1,156,0.9166073799133301,0.9360465407371521,0.8979591727256775,176,735.0,688.0,4.0,664.0,20.0,664.0,14.0,4.0,11.0,10.0
drp.en_ko.in_house.selectstar_002494.jpg,1,118,0.9445047378540039,0.9282371401786804,0.9613526463508606,117,621.0,641.0,4.0,601.0,6.0,601.0,39.0,3.0,6.0,1.0
drp.en_ko.in_house.selectstar_002499.jpg,1,168,0.9718683362007141,0.9741735458374023,0.9695740342140198,181,986.0,968.0,5.0,961.0,18.0,961.0,6.0,4.0,7.0,1.0
drp.en_ko.in_house.selectstar_002509.jpg,1,84,0.9764066338539124,0.9728395342826843,0.9800000190734863,79,400.0,405.0,6.0,398.0,4.0,398.0,4.0,6.0,3.0,3.0
drp.en_ko.in_house.selectstar_002514.jpg,1,155,0.6253255009651184,0.5357633829116821,0.7508417367935181,299,1188.0,1454.0,139.0,1031.0,252.0,1031.0,34.0,97.0,59.0,389.0
drp.en_ko.in_house.selectstar_002518.jpg,1,98,0.9973270297050476,0.9982143044471741,0.9964413046836853,99,562.0,560.0,0.0,560.0,1.0,560.0,0.0,0.0,1.0,0.0
drp.en_ko.in_house.selectstar_002525.jpg,1,121,0.9881994128227234,0.9838235378265381,0.9926144480705261,122,677.0,680.0,2.0,674.0,5.0,674.0,4.0,2.0,4.0,2.0
drp.en_ko.in_house.selectstar_002528.jpg,1,131,0.9908685088157654,0.9883720874786377,0.9933775067329407,136,604.0,602.0,1.0,601.0,6.0,601.0,1.0,1.0,4.0,0.0
drp.en_ko.in_house.selectstar_002535.jpg,1,155,0.9267979264259338,0.9818417429924011,0.8775981664657593,158,866.0,771.0,3.0,763.0,6.0,763.0,7.0,3.0,6.0,1.0
drp.en_ko.in_house.selectstar_002540.jpg,1,135,0.9969742894172668,0.993966817855835,1.0,139,663.0,663.0,0.0,663.0,4.0,663.0,0.0,0.0,4.0,0.0
drp.en_ko.in_house.selectstar_002543.jpg,1,139,0.9362314939498901,0.9177305102348328,0.9554937481880188,179,719.0,705.0,1.0,688.0,41.0,688.0,16.0,1.0,23.0,1.0
